Defendant_Sex,Defendant_Race,Defendant_Age,Defendant_IndigencyStatus,WhetherDefendantWasReleasedPretrial,DaysBetweenContactEventAndPretrialRelease,PretrialReleaseType2,BondTypeAtInitialContact,BondAmountAtInitialContact,BondTypeAtRelease_v1,BondAmountAtRelease,Indicator_PresumptiveDenialOfBail_19.2_120,PriorArrests,Locality_JudicialCircuit,Locality_MagisterialRegion,FollowUp_ChargedWithNewFTA,FollowUp_ArrestedforNewOff,CrimeCommission2021ReportClassificationofDefendants,VPRAI_TotalPoints_Opt1,VPRAI_TotalPoints_Opt2,PSA_FTA_TotalPoints,PSA_NCA_TotalPoints,PSA_NVCA_TotalPoints
M,W,31,99,9,888,9,7, ,9, ,0,0,   18.00,    5.00, , ,Defendant could not be classified or tracked due to insufficeint data,3,4,0,0,0
M,B,60,9,0,999,0,7, ,1, ,2,96,   18.00,    5.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,6,7,3,9,4
M,W,27,9,0,999,0,7, ,1, ,1,1,   18.00,    5.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,0,1,0,0,0
M,B,27,0,0,999,0,7, ,1, ,0,19,   17.00,    5.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,9,10,6,8,2
F,W,28,0,1,888,1,7, ,4, ,0,1,   17.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,0,0,0
M,B,39,0,0,999,0,7, ,1, ,0,8,   17.00,    5.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,2,3,1,3,1
F,B,35,1,1,777,6,7, ,2,0,0,14,   17.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,0,0,0
M,B,18,0,1,888,3,7, ,2, ,0,3,   17.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,5,1
M,B,27,1,0,999,0,7, ,1, ,0,17,   17.00,    5.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,4,5,1,5,4
M,W,21,1,1,888,3,7, ,2,0,0,16,   17.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,3,1
M,W,66,0,1,888,1,7, ,4, ,0,5,   17.00,    5.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,1,1,1
M,B,25,0,0,999,0,7, ,1, ,2,19,   25.00,    2.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,9,10,1,4,1
F,W,35,0,1,0,3,7, ,2,5000,0,0,   25.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,0,0,0
F,W,35,0,1,888,3,7, ,2, ,1,6,   25.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,1,1,1
M,W,31,1,1,888,3,7, ,2,7500,0,5,   29.00,    1.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,3,5,1
F,W,38,1,1,888,1,7, ,3,3500,0,2,   29.00,    1.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,5,6,1,3,1
M,W,22,0,1,888,3,7, ,2, ,0,2,   29.00,    1.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,4,5,0,2,0
M,W,40,1,1,888,3,7, ,2,0,0,45,   29.00,    1.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,9,10,3,6,2
F,W,39,1,1,888,3,7, ,2,0,0,9,   29.00,    1.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,4,5,2,5,2
M,W,48,0,1,888,3,7, ,2,2000,0,8,   29.00,    1.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,1,1
F,W,34,1,1,888,3,7, ,2,5000,0,7,   29.00,    1.00,1,1,New criminal offense punishable by incarceration_Released on Secured Bond,7,8,2,1,0
M,W,37,0,0,999,0,7, ,1, ,0,11,   29.00,    1.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,9,10,2,2,1
F,W,34,0,1,888,3,7, ,2,2000,0,10,   29.00,    1.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,6,7,1,1,3
M,W,20,0,1,888,1,7, ,3,1000,0,10,   29.00,    1.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,8,9,2,6,5
M,W,54,0,1,888,1,7, ,3,2500,0,6,   29.00,    1.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,6,7,1,4,2
M,W,46,1,0,999,0,7, ,1, ,0,28,   29.00,    1.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,11,12,2,6,3
M,W,28,1,0,999,0,7, ,1, ,2,24,   29.00,    1.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,7,8,7,10,5
M,W,20,1,0,999,0,7, ,1, ,2,10,   29.00,    1.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,6,7,3,4,4
M,W,28,0,0,999,0,7, ,1, ,0,8,   29.00,    1.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,6,7,3,9,4
M,W,27,0,1,888,3,7, ,2,2000,2,13,   29.00,    1.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,9,10,1,4,4
M,B,58,0,0,999,0,7, ,1, ,0,18,   10.00,    3.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,3,4,2,4,5
M,W,58,1,0,999,0,7, ,1, ,0,19,   27.00,    1.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,3,4,0,0,0
M,W,55,0,9,888,9,7, ,9, ,0,1,   26.00,    4.00,0,0,Defendant could not be classified or tracked due to insufficeint data,3,4,0,0,0
M,W,51,0,1,0,3,7, ,2,2500,0,0,   26.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,0,0
M,W,24,1,0,999,0,7, ,1, ,0,21,   16.00,    4.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,6,7,2,8,3
